TT        PID       AT        CT        IO_D      WT        RT        TRT       
877       45        56        198       0         804       268       821       
877       77        328       193       0         532       1         549       
877       79        331       190       0         462       0         546       
877       82        336       184       0         484       371       541       
877       117       734       157       0         143       -1        143       
877       120       742       149       0         135       -1        135       
877       85        344       176       0         409       271       533       
877       108       631       159       0         230       1         246       
877       109       637       153       0         240       -1        240       
877       112       641       149       0         232       0         236       
877       113       644       145       0         231       1         233       
877       110       638       152       0         234       1         239       
877       111       640       150       0         237       -1        237       
877       80        332       189       0         484       387       545       
877       115       721       186       0         156       -1        156       
877       118       734       173       0         143       -1        143       
877       78        330       191       0         531       1         547       
877       81        335       186       0         533       1         542       
877       83        337       184       0         482       45        540       
877       90        390       175       0         414       316       487       
877       114       707       173       0         170       -1        170       
877       116       729       152       0         148       -1        148       
877       92        402       163       0         415       149       475       
877       101       557       156       0         306       1         320       
877       102       558       155       0         319       -1        319       
877       105       561       152       0         316       -1        316       
877       104       560       153       0         317       -1        317       
877       84        338       183       0         539       -1        539       
877       47        69        185       0         745       1         808       
877       48        72        182       0         804       440       805       
877       93        512       181       0         230       229       365       
877       119       741       180       0         136       -1        136       
877       121       742       179       0         135       -1        135       
877       87        388       172       0         452       1         489       
877       88        389       171       0         488       -1        488       
877       91        392       168       0         484       216       485       
877       107       608       167       0         269       -1        269       
1056      12        12        215       2         829       262       1044      
1238      27        27        234       2         977       312       1211      
1338      24        24        234       0         1080      2         1314      
1359      13        13        263       6         1083      159       1346      
1395      9         9         323       1         1063      31        1386      
1395      41        40        322       0         1170      342       1355      
1395      86        382       321       0         895       841       1013      
1395      141       1241      302       0         149       1         154       
1395      143       1246      297       0         149       -1        149       
1395      142       1245      298       0         150       -1        150       
1395      89        389       314       0         711       123       1006      
1395      94        514       311       0         879       362       881       
1395      135       1150      309       0         245       -1        245       
1395      95        522       303       0         862       1         873       
1395      96        523       302       0         765       355       872       
1395      123       882       297       0         327       1         513       
1395      124       888       291       0         507       -1        507       
1395      128       897       282       0         489       402       498       
1395      145       1301      279       0         94        -1        94        
1395      146       1306      274       0         51        0         89        
1395      147       1312      267       0         83        -1        83        
1395      148       1314      265       0         81        -1        81        
1395      125       895       284       0         427       0         500       
1395      127       896       282       0         439       124       499       
1395      133       1028      273       0         334       195       367       
1395      140       1233      262       0         162       -1        162       
1395      144       1299      261       0         96        -1        96        
1395      134       1040      261       0         355       -1        355       
1395      129       909       269       0         473       1         486       
1395      130       911       267       0         484       -1        484       
1395      131       912       266       0         437       238       483       
1395      136       1152      263       0         190       22        243       
1395      153       1387      218       0         8         -1        8         
1395      154       1394      211       0         1         -1        1         
1395      137       1160      255       0         174       1         235       
1395      138       1162      253       0         233       -1        233       
1395      139       1167      248       0         228       -1        228       
1395      97        527       298       0         859       0         868       
1395      98        528       296       0         737       347       867       
1395      122       876       294       0         519       -1        519       
1395      126       895       275       0         500       -1        500       
1395      44        50        312       0         1333      1         1345      
1395      46        61        301       0         1332      1018      1334      
1453      10        10        536       6         907       0         1443      
1534      4         4         764       4         766       6         1530      
1534      37        26        747       0         1381      955       1508      
1534      132       981       746       0         553       -1        553       
1534      157       1401      740       0         133       -1        133       
1534      42        42        731       0         1378      1280      1492      
1534      149       1330      722       0         135       0         204       
1534      150       1331      720       0         162       65        203       
1534      155       1400      715       0         132       1         134       
1534      156       1401      714       0         133       -1        133       
1534      158       1413      702       0         108       1         121       
1534      159       1415      700       0         94        12        119       
1534      161       1442      684       0         82        1         92        
1534      162       1443      683       0         91        -1        91        
1534      164       1446      680       0         88        -1        88        
1534      163       1444      682       0         44        45        90        
1534      165       1495      675       0         14        1         39        
1534      166       1496      674       0         38        -1        38        
1534      168       1499      671       0         35        -1        35        
1534      167       1498      672       0         36        -1        36        
1534      160       1416      699       0         118       -1        118       
1534      151       1336      715       0         198       -1        198       
1534      152       1342      710       0         192       -1        192       
1659      21        21        657       6         981       2         1638      
Processes:168
Avg WT = 363.702,Avg RT =  77.3631,Avg TRT = 416.732
Migration %: 	RTF= 4.7619%,	MaxW = 83.9286%
Work Steal%: 6.54762%
Forked Process: 82.1429%
Killed Process: 82.7381%

Processors:11 [5FCFS, 4SJF, 2RR ]
Processors Load 
p0=0.8912899516	p1=0.7813069516	p2=0.9569929516	p3=1.275519516	p4=1.488349516	p5=2.181099516	p6=0.872729516	p7=1.495489516	p8=0.9341399516	p9=1.004139516	p10=0.847019516	

Processors Utiliz
p0=45.91619516	p1=40.54869516	p2=47.31649516	p3=59.5739516	p4=66.20089516	p5=94.31759516	p6=46.3239516	p7=69.06339516	p8=48.30139516	p9=49.6829516	p10=42.69269516	
Avg utilization = 55.4486%
Thank you Lord!
